SaleID,SaleDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice
1047,2026-09-10,C052,P127,S046,1,3761
1024,2026-09-10,C021,P043,S058,-5,72116
1037,2026-09-10,C054,P097,S888,5,45633
1011,2026-09-10,C901,P120,S075,5,53308
1013,2026-09-10,C021,P077,S068,8,45120
1023,2026-09-10,C034,P064,,7,65178
1031,2026-09-10,C014,P117,S100,9,51529
1054,2026-09-10,C046,P112,S102,6,-1500
1063,2026-09-10,C016,P091,S059,10,67832
1033,2026-09-10,C103,P016,S025,2,27463
,2026-09-10,C014,P027,S001,10,19926
1049,2026-09-10,C089,P115,S104,6,47893
1014,2026-09-10,C115,PXYZ,S078,2,15575
1063,2026-09-10,C016,P091,S059,3,35547
1040,2026-09-10,C037,P027,S096,6,34802
1019,2026-09-10,C122,P901,S008,5,84920
1043,2026-09-30,C077,P024,S090,5,68047
1060,2026-09-10,C036,P112,S025,4,3769
1038,2026-09-10,C094,P888,S016,2,64072
1044,2026-09-10,C094,P043,S046,4,69907
1025,2026-09-10,C900,P036,S105,7,72218
1048,2026-09-10,C072,P121,S034,4,79416
1026,2026-09-10,C072,P107,S046,-5,30345
1029,2026-09-10,C068,P073,S001,3,55012
1032,2026-09-10,C102,P103,S051,2,63214
1059,2026-09-10,C888,P004,S103,2,69120
1021,2026-09-10,C089,P006,S060,6,22126
1010,2026-09-10,C016,P053,S064,9,56145
1007,2026-09-10,C035,P075,S054,3,70968
1050,2026-09-10,C021,P901,S014,4,61714
1055,2026-09-10,C102,P119,S052,2,
1046,2026-09-10,C050,P062,S105,0,29819
1011,2026-09-10,C901,P120,S075,8,47493
1061,2026-09-10,C065,P055,S038,9,31627
1016,2026-09-10,C126,P108,S006,2,73248
1034,2026-09-10,C113,P042,S015,6,78838
1003,2026-09-10,C055,P010,S012,7,54910
1009,2026-09-10,C049,P096,S013,9,-1500
1056,2026-09-10,C044,P033,S004,3,77538
1027,2026-09-10,C039,P022,S901,3,30503
1043,2026-09-30,C077,P024,S090,5,5288
,2026-09-10,C030,P127,S008,4,37774
1001,2026-09-10,C039,P102,S084,1,9594
1030,2026-09-10,C095,P082,S999,9,81049
1008,2026-09-10,C031,P079,S072,3,13607
1051,2026-09-10,C051,P087,S027,8,81897
1057,2026-09-10,C120,P038,S079,10,62274
1015,2026-09-10,C108,P043,S097,6,0
1039,2026-09-10,C120,P123,S999,5,11357
1053,2026-09-10,C022,P031,S050,4,62756
1017,2026-09-10,C081,P088,S089,6,-1500
,2026-09-10,C084,P067,S070,7,17280
1006,2026-09-10,C901,P013,S029,1,73063
1041,2026-09-10,C123,P042,,1,26997
1002,2026-09-10,C025,P094,S075,1,66610
1018,2026-09-10,C128,P117,S009,2,35481
1005,2026-09-10,C016,P032,S029,10,8208
1058,2026-09-10,C090,P040,S071,0,17268
1028,2026-09-10,C060,P004,S063,-5,24000
1065,2026-09-10,C005,P113,S100,3,79864
1045,2026-09-10,C129,P085,S082,4,
1052,2026-09-10,C001,P123,S084,6,
1004,2026-09-10,C018,P062,S012,9,55742
1036,2026-09-10,C026,P094,S079,1,9316
1012,2026-09-10,C077,P064,S102,3,32094
1042,2026-09-10,C093,P038,S888,9,3644
1064,2026-09-10,C888,P129,S017,9,20001
1065,2026-09-10,C005,P113,S100,2,34908
1032,2026-09-10,C102,P103,S051,3,55445
1020,2026-09-10,C115,P073,S092,7,87741
