ProductID,ProductName,Category,Price
P001,Laptop,Electronics,85000.00
P002,Wireless Mouse,Accessories,1500.00
P003,Mechanical Keyboard,Accessories,4500.50
P004,LED Monitor,Electronics,25000.00
P005,USB-C Cable,Accessories,850.75
P006,Office Chair,Furniture,12500.00
P007,Study Desk,Furniture,18500.50
P008,Bluetooth Headphones,Electronics,3500.00
P009,Webcam,Electronics,5200.00
P010,External Hard Drive,Electronics,9500.00
P011,Notebook,Stationery,250.00
P012,Ballpoint Pen,Stationery,45.50
P013,Printer,Electronics,18500.00
P014,Desk Lamp,Electronics,2200.00
P015,Backpack,Accessories,2800.00
P016,Wireless Keyboard,Accessories,3200.75
P017,Power Bank,Electronics,2400.00
P018,Smartphone,Electronics,65000.00
P019,Tablet,Electronics,42000.00
P020,Office Table,Furniture,15500.00
P021,Filing Cabinet,Furniture,9800.00
P022,Bookshelf,Furniture,7200.50
P023,Stapler,Stationery,180.00
P024,Paper Ream,Stationery,550.00
P025,Calculator,Stationery,850.00
P026,Whiteboard,Stationery,3200.00
P027,HDMI Cable,Accessories,1200.50
P028,Portable SSD,Electronics,12500.00
P029,Smart Watch,Electronics,8500.00
P030,Computer Speakers,Electronics,2800.00
P031,Mouse Pad,Accessories,650.00
P032,Webcam Cover,Accessories,350.00
P033,Office Cabinet,Furniture,14500.00
P034,Ergonomic Footrest,Furniture,3200.00
,Desk Organizer,Stationery,750.00
,Sticky Notes,Stationery,120.50
,File Folder,Stationery,180.00
,USB Hub,Accessories,1850.00
,Wireless Charger,Electronics,2100.00
,Pen Stand,Stationery,320.00
,Document Tray,Stationery,650.00
,Monitor Stand,Furniture,2800.00
P041,Portable Fan,Electronics,-500.00
P042,Keyboard Wrist Rest,Accessories,-1200.50
P043,LED Strip Light,Electronics,-850.00
P044,Desk Mat,Accessories,-1500.75
P010,External Hard Drive 2TB,Electronics,12500.00
P020,Office Table Premium,Furniture,22000.00
P030,Computer Speakers Pro,Electronics,4500.00
